Date,Content,Source
2024-07-29 21:13:21+07:00,"Ngày 29/7, Liên đoàn Bóng đá Việt Nam (VFF) đã có quyết định kỷ luật ông Nguyễn Văn Nhật - huấn luyện viên trưởng câu lạc bộ U16 nữ Thái Nguyên do có ý định làm sai lệch kết quả trận đấu giữa đội Thái Nguyên và đội Thành phố Hồ Chí Minh.",https://nhandan.vn/huan-luyen-vien-u16-nu-thai-nguyen-de-doa-dong-nghiep-de-yeu-cau-dan-xep-ty-so-post821660.html
2024-07-29 21:05:01+07:00,"Trưa 29/7, tại thủ đô Vietiane, thay mặt Lãnh đạo Đảng, Nhà nước và Chính phủ Lào, Phó Thủ tướng, Bộ trưởng Ngoại giao Lào Saleumxay Kommasith đã trao Huân chương Itxala (Huân chương Tự do) hạng Ba tặng Đại sứ Việt Nam tại Lào Nguyễn Bá Hùng, là đại sứ nước ngoài tại Lào đầu tiên được trao tặng Huân chương cao quý này của Nhà nước Lào.",https://nhandan.vn/lao-trao-huan-chuong-itxala-tang-dai-su-nguyen-ba-hung-post821656.html
2024-07-29 20:56:44+07:00,"Từ ngày 3 đến 6/9, tại thành phố Vladivostok, Liên bang Nga sẽ diễn ra Diễn đàn Kinh tế phương Đông năm 2024 với chủ đề “Viễn Đông-2030. Cùng nỗ lực, tạo cơ hội”.",https://nhandan.vn/nga-to-chuc-dien-dan-kinh-te-phuong-dong-nam-2024-post821650.html
2024-07-29 20:56:09+07:00,"Kết thúc nội dung bơi lội vòng loại 800m tự do nam tại Olympic 2024, kình ngư Nguyễn Huy Hoàng chỉ về thứ 5, với thành tích 8 phút 08 giây 39, kém 19,90 giây so với người dẫn đầu.",https://nhandan.vn/olympic-paris-2024-kinh-ngu-nguyen-huy-hoang-lo-co-hoi-vao-chung-ket-post821659.html
2024-07-29 20:46:58+07:00,"Nhân dịp kỷ niệm 203 năm Quốc khánh nước Cộng hòa Peru, Chủ tịch nước Tô Lâm đã gửi điện chúc mừng đến Tổng thống Dina Boluarte Zegarra.",https://nhandan.vn/chu-tich-nuoc-to-lam-gui-dien-chuc-mung-den-tong-thong-dina-boluarte-zegarra-post821655.html
2024-07-29 19:57:47+07:00,"Thủ tướng Chính phủ vừa ra Công điện số 73/CĐ-TTg về việc kiểm tra, chủ động khắc phục hậu quả động đất tại địa bàn huyện Kon Plông, tỉnh Kon Tum.",https://nhandan.vn/chu-dong-khac-phuc-hau-qua-dong-dat-tai-dia-ban-huyen-kon-plong-tinh-kon-tum-post821654.html
2024-07-28 15:43:03+07:00,"Vào lúc 11 giờ 35 phút hôm nay, tại huyện Kon Plông, tỉnh Kon Tum, ghi nhận trận động đất có độ lớn 5.0, cấp độ rủi ro thiên tai là cấp 2.",https://nhandan.vn/dong-dat-lon-nhat-tu-truoc-den-nay-xay-ra-tai-kon-tum-post821469.html
2024-07-28 18:25:11+07:00,"Chiều 28/7, Ủy ban nhân dân huyện Kon Plông, tỉnh Kon Tum đã ban hành văn bản yêu cầu thành viên Ban chỉ huy phòng chống thiên tai, Tìm kiếm cứu nạn và Phòng thủ dân sự huyện khẩn trương xuống địa bàn nắm tình hình, đánh giá thiệt hại nhà cửa, tài sản, trụ sở các cơ quan, đơn vị để có phương án xử lý, khắc phục kịp thời thiệt hại do động đất gây ra.",https://nhandan.vn/kon-tum-khan-truong-ung-pho-voi-dong-dat-post821484.html
2024-07-29 18:13:57+07:00,"Từ ngày 28/7 đến 15 giờ 32 phút ngày 29/7, tại khu vực huyện Kon Plông (Kon Tum) đã xảy ra 52 trận động đất có độ lớn từ 2,5 đến 5,0. Với tần suất các trận động đất liên tục như vậy được cho là “kỷ lục” từ trước đến nay tại khu vực này và trên cả nước.",https://nhandan.vn/dong-dat-kich-thich-tai-kon-plong-co-the-keo-dai-trong-nhieu-nam-post821623.html
2024-07-29 16:26:28+07:00,"Nước sông Tích Giang lên cao do mưa nhiều và thủy điện mở cửa xả đã làm cô lập hoàn toàn xóm Bến Vôi thuộc xã Cấn Hữu (Quốc Oai, Hà Nội) trong nhiều ngày qua.",https://nhandan.vn/anh-6-ngay-ngap-sau-o-hai-xa-oc-dao-ngoai-thanh-ha-noi-post821596.html
